Id,Label,Type
544,GOLVET,Restaurant
545,Nobelhart & Schmutzig,Restaurant
546,Hugos,Restaurant
547,Bieberbau,Restaurant
548,Schwabenstube,Restaurant
549,PURS NEW NORDIC JAPANESE CUISINE,Restaurant
550,Bandol sur mer,Restaurant
551,Bagatelle,Restaurant
552,St. Laurentiushof - Schockes Küche,Restaurant
553,Masa Japanese Cuisine,Restaurant
554,The Stage,Restaurant
555,Tantris DNA,Restaurant
556,Veles,Restaurant
557,SoulFood,Restaurant
558,Le Jardin de France im Stahlbad,Restaurant
559,IKO,Restaurant
560,Le temple,Restaurant
561,elements,Restaurant
562,MIND,Restaurant
563,Restaurant Brogsitter - Historisches Gasthaus Sanct Peter,Restaurant
564,ZweiSinn Meiers | Fine Dining,Restaurant
565,Ontra's Gourmetstube,Restaurant
566,THE LISBETH,Restaurant
567,edl.eins,Restaurant
568,midi,Restaurant
569,Zwanzig23 by Lukas Jakobi,Restaurant
570,SchwarzGold,Restaurant
571,Kaisersaal,Restaurant
572,Wachter Foodbar,Restaurant
573,Brothers,Restaurant
574,Lech-Line,Restaurant
575,The First,Restaurant
576,Cédric,Restaurant
577,Solo Du,Restaurant
578,Kettner's Kamota,Restaurant
579,Gasthof Alex,Restaurant
580,Zur Wolfshöhle,Restaurant
581,Tisane,Restaurant
582,Epicures,Restaurant
583,Sartory,Restaurant
584,hallmann & klee,Restaurant
585,Zur Post,Restaurant
586,"Christian & Friends, Tastekitchen",Restaurant
587,Spitzner,Restaurant
588,Merkles Restaurant,Restaurant
589,Cookies Cream,Restaurant
590,Sankt Benedikt,Restaurant
591,Kucher's Gourmet,Restaurant
592,Schwarz Gourmet,Restaurant
593,Burg Nideggen - Brockel Schlimbach,Restaurant
594,Gut Lärchenhof,Restaurant
595,Jacobi,Restaurant
596,Atlantic Restaurant,Restaurant
597,Joseph's Fine Dining,Restaurant
598,Jae,Restaurant
599,Hegel Eins,Restaurant
600,MAIN TOWER Restaurant & Lounge,Restaurant
601,Kuultivo,Restaurant
602,Bonvivant,Restaurant
603,Restaurant Karner,Restaurant
604,1804 Hirschau,Restaurant
605,Parsley Salon,Restaurant
606,Udtryk,Restaurant
607,Gaptrast,Restaurant
608,texture,Restaurant
609,The Samuel,Restaurant
610,K2,Restaurant
611,Finnjävel Salonki,Restaurant
612,Grön,Restaurant
613,Villa Vest,Restaurant
614,Sabi Omakase Stavanger,Restaurant
615,28+,Restaurant
616,Etoile,Restaurant
617,SK Mat & Människor,Restaurant
618,Kadeau Bornholm,Restaurant
619,Dragsholm Slot Gourmet,Restaurant
620,Sabi Omakase Oslo,Restaurant
621,Statholdergaarden,Restaurant
622,Søllerød Kro,Restaurant
623,Celeste,Restaurant
624,Jatak,Restaurant
625,MOTA,Restaurant
626,VÅR,Restaurant
627,Pearl by Paul Proffitt,Restaurant
628,Syttende,Restaurant
629,Aure,Restaurant
630,ARO,Restaurant
631,Stallen,Restaurant
632,Sushi Anaba,Restaurant
633,ÄNG,Restaurant
634,LYST,Restaurant
635,PM & Vänner Restaurant,Restaurant
636,Moss,Restaurant
637,Project,Restaurant
638,Ekstedt,Restaurant
639,Ti Trin Ned,Restaurant
640,Domestic,Restaurant
641,Frederiksminde,Restaurant
642,ergo.,Restaurant
643,Hermetikken,Restaurant
644,Seafood Gastro,Restaurant
645,Iris,Restaurant
646,DILL,Restaurant
647,Under,Restaurant
648,Omakase by Sergey Pak,Restaurant
649,Gastromé,Restaurant
650,Substans,Restaurant
651,Marchal,Restaurant
652,SAVAGE,Restaurant
653,Mon Oncle,Restaurant
654,Knystaforsen,Restaurant
655,HOZE,Restaurant
656,Alimentum,Restaurant
657,Nour,Restaurant
658,Operakällaren,Restaurant
659,FAGN,Restaurant
660,Speilsalen,Restaurant
